scaffold,R1,R2,R3,analogue_smiles
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,hydrogen,O=CNc1cccc(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,phenyl,O=C(Nc1cccc(Nc2ncccn2)c1)c1ccccc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,4-methylphenyl,Cc1ccc(C(=O)Nc2cccc(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,4-fluorophenyl,O=C(Nc1cccc(Nc2ncccn2)c1)c1ccc(F)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,4-chlorophenyl,O=C(Nc1cccc(Nc2ncccn2)c1)c1ccc(Cl)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,4-cyanophenyl,N#Cc1ccc(C(=O)Nc2cccc(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,2-methoxyphenyl,COc1ccccc1C(=O)Nc1cccc(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,2-carboxyphenyl,O=C(O)c1ccccc1C(=O)Nc1cccc(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,2-naphthyl,O=C(Nc1cccc(Nc2ncccn2)c1)c1ccc2ccccc2c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,"4,1'-biphenyl",O=C(Nc1cccc(Nc2ncccn2)c1)c1ccc(-c2ccccc2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,"3,1'-biphenyl",O=C(Nc1cccc(Nc2ncccn2)c1)c1cccc(-c2ccccc2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,benzyl-4-methylpipirazyl,CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4ncccn4)c3)cc2)CC1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,hydrogen,benzylpipirazyl,O=C(Nc1cccc(Nc2ncccn2)c1)c1ccc(CN2CCNCC2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,hydrogen,Cc1ccc(NC=O)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,phenyl,Cc1ccc(NC(=O)c2ccccc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,4-methylphenyl,Cc1ccc(C(=O)Nc2ccc(C)c(Nc3ncccn3)c2)cc1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,4-fluorophenyl,Cc1ccc(NC(=O)c2ccc(F)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,4-chlorophenyl,Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,4-cyanophenyl,Cc1ccc(NC(=O)c2ccc(C#N)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,2-methoxyphenyl,COc1ccccc1C(=O)Nc1ccc(C)c(Nc2ncccn2)c1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,2-carboxyphenyl,Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,2-naphthyl,Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,"4,1'-biphenyl",Cc1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,"3,1'-biphenyl",Cc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,benzyl-4-methylpipirazyl,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,methyl,benzylpipirazyl,Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,hydrogen,CCc1ccc(NC=O)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,phenyl,CCc1ccc(NC(=O)c2ccccc2)cc1Nc1ncccn1
O=C([*:6])Nc1cc(Nc2nccc([*:4])n2)c([*:5])cc1,hydrogen,ethyl,4-methylphenyl,CCc1ccc(NC(=O)c2ccc(C)cc2)cc1Nc1ncccn1
